Teams listed by FIFA ranking as of May 2002[12],Teams listed by FIFA ranking as of May 2002[12],Teams listed by FIFA ranking as of May 2002[12],Teams listed by FIFA ranking as of May 2002[12]
,Country,Confederation,Rank
1,France (1998 winner),UEFA,1
2,Brazil,CONMEBOL,2
3,Argentina,CONMEBOL,3
4,Portugal,UEFA,5
5,Italy,UEFA,6
6,Mexico,CONCACAF,7
7,Spain,UEFA,8
8,Germany,UEFA,11
9,England,UEFA,12
10,United States,CONCACAF,13
11,Republic of Ireland,UEFA,15
12,Cameroon,CAF,17
13,Paraguay,CONMEBOL,18
14,Sweden,UEFA,19
15,Denmark,UEFA,20
16,Croatia,UEFA,21
17,Turkey,UEFA,22
18,Belgium,UEFA,23
19,Uruguay,CONMEBOL,24
20,Slovenia,UEFA,25
21,Nigeria,CAF,27
22,Russia,UEFA,28
23,Costa Rica,CONCACAF,29
24,Tunisia,CAF,31
25,Japan (host),AFC,32
26,Saudi Arabia,AFC,34
27,Ecuador,CONMEBOL,36
28,South Africa,CAF,37
29,Poland,UEFA,38
30,South Korea (host),AFC,40
31,Senegal,CAF,42
32,China PR,AFC,50